"GRCODE","GRNAME","AccidentYear","DevelopmentYear","DevelopmentLag","IncurredLosses","CumPaidLoss","BulkLoss","EarnedPremDIR","EarnedPremCeded","EarnedPremNet","Single","PostedReserves2007"
43,"IDS Property Cas Ins Co",1998,1998,1,50320,12762,21720,63709,3071,60638,0,277117.746
43,"IDS Property Cas Ins Co",1998,1999,2,41036,26291,6514,63709,3071,60638,0,277117.746
43,"IDS Property Cas Ins Co",1998,2000,3,39688,32420,2858,63709,3071,60638,0,277117.746
43,"IDS Property Cas Ins Co",1998,2001,4,39278,36282,757,63709,3071,60638,0,277117.746
43,"IDS Property Cas Ins Co",1998,2002,5,40647,38260,1444,63709,3071,60638,0,277117.746
43,"IDS Property Cas Ins Co",1998,2003,6,40024,39122,426,63709,3071,60638,0,277117.746
43,"IDS Property Cas Ins Co",1998,2004,7,40256,39786,189,63709,3071,60638,0,277117.746
43,"IDS Property Cas Ins Co",1998,2005,8,40263,39820,196,63709,3071,60638,0,277117.746
43,"IDS Property Cas Ins Co",1998,2006,9,39896,39876,0,63709,3071,60638,0,277117.746
43,"IDS Property Cas Ins Co",1998,2007,10,39896,39896,0,63709,3071,60638,0,277117.746
43,"IDS Property Cas Ins Co",1999,1999,1,52660,15027,22323,69812,1314,68498,0,277117.746
43,"IDS Property Cas Ins Co",1999,2000,2,42976,29449,5137,69812,1314,68498,0,277117.746
43,"IDS Property Cas Ins Co",1999,2001,3,44218,36831,2413,69812,1314,68498,0,277117.746
43,"IDS Property Cas Ins Co",1999,2002,4,44331,40756,253,69812,1314,68498,0,277117.746
43,"IDS Property Cas Ins Co",1999,2003,5,45793,43859,618,69812,1314,68498,0,277117.746
43,"IDS Property Cas Ins Co",1999,2004,6,45837,44499,510,69812,1314,68498,0,277117.746
43,"IDS Property Cas Ins Co",1999,2005,7,45800,45248,286,69812,1314,68498,0,277117.746
43,"IDS Property Cas Ins Co",1999,2006,8,44844,44993,-227,69812,1314,68498,0,277117.746
43,"IDS Property Cas Ins Co",1999,2007,9,45094,45090,0,69812,1314,68498,0,277117.746
43,"IDS Property Cas Ins Co",2000,2000,1,51830,18464,17365,74149,258,73891,0,277117.746
43,"IDS Property Cas Ins Co",2000,2001,2,51184,36451,5196,74149,258,73891,0,277117.746
43,"IDS Property Cas Ins Co",2000,2002,3,53015,46230,1598,74149,258,73891,0,277117.746
43,"IDS Property Cas Ins Co",2000,2003,4,54479,50645,966,74149,258,73891,0,277117.746
43,"IDS Property Cas Ins Co",2000,2004,5,55206,53094,1215,74149,258,73891,0,277117.746
43,"IDS Property Cas Ins Co",2000,2005,6,55077,53821,825,74149,258,73891,0,277117.746
43,"IDS Property Cas Ins Co",2000,2006,7,54281,54024,0,74149,258,73891,0,277117.746
43,"IDS Property Cas Ins Co",2000,2007,8,54354,54236,0,74149,258,73891,0,277117.746
43,"IDS Property Cas Ins Co",2001,2001,1,63613,25388,17035,89647,1263,88383,0,277117.746
43,"IDS Property Cas Ins Co",2001,2002,2,67704,50321,5319,89647,1263,88383,0,277117.746
43,"IDS Property Cas Ins Co",2001,2003,3,72117,62468,3684,89647,1263,88383,0,277117.746
43,"IDS Property Cas Ins Co",2001,2004,4,72803,67086,2250,89647,1263,88383,0,277117.746
43,"IDS Property Cas Ins Co",2001,2005,5,73411,68930,1964,89647,1263,88383,0,277117.746
43,"IDS Property Cas Ins Co",2001,2006,6,72094,70899,293,89647,1263,88383,0,277117.746
43,"IDS Property Cas Ins Co",2001,2007,7,72083,71494,48,89647,1263,88383,0,277117.746
43,"IDS Property Cas Ins Co",2002,2002,1,91396,33620,30762,119821,1171,118650,0,277117.746
43,"IDS Property Cas Ins Co",2002,2003,2,92506,67674,8549,119821,1171,118650,0,277117.746
43,"IDS Property Cas Ins Co",2002,2004,3,97206,81853,6846,119821,1171,118650,0,277117.746
